From,To
A0A0A1P6P0,BCV71DRAFT_292304
A0A0D9MXW1,P034_00410467
A2PZ98,Ace1
A3EZI9,NS3
A4D0S4,LAMB4
A5LHX3,PSMB11
A5X5Y0,HTR3E
A6NMZ7,COL6A6
A7E2Y1,MYH7B
A8TX70,COL6A5
D2K2A8,NS4A
E0V9R7,8233823
E0V9W2,8233868
E0VAD1,8232310
E0VB18,8232849
E0VB20,8232852
E0VBK5,8231029
E0VCA5,8231511
E0VCW8,8238086
E0VCW9,8238085
E0VDF4,8238272
E0VDF5,8238273
E0VDF7,8238275
E0VDM3,8238343
E0VDR0,8238380
E0VED4,8234154
E0VGV6,8240195
E0VHL8,8237447
E0VHZ1,8237618
E0VJJ0,8230819
E0VM29,8229807
E0VMV6,8236087
E0VMV7,8236088
E0VMW9,8236100
E0VP62,8232002
E0VQ45,8233619
E0VQ46,8233620
E0VQ47,8233621
E0VRD2,8237795
E0VSD4,8234407
E0VSD5,8234408
E0VUR0,8230507
E0VUR1,8230508
E0VV39,8230924
E0VV52,8230937
E0VV70,8238404
E0VV72,8230957
E0VXT9,8232915
E0VY07,8232983
E0VZW4,8235475
E0W115,8234840
E0W2B1,8232678
E0W389,8236974
E0W492,8239847
E0W4F7,8239920
F2SF18,TERG_01112
F2SG63,TERG_02189
F2SHH3,TERG_01703
F2SZ02,TERG_07773
F2SZD3,TERG_07904
G4WW85,cyp51A
H9U2V9,Rdl1
H9U2W0,Rdl2
H9U2W1,Rdl3
O00206,TLR4
O00217,NDUFS8
O00220,TNFRSF10A
O00231,PSMD11
O00232,PSMD12
O00305,CACNB4
O00311,CDC7
O00329,PIK3CD
O00408,PDE2A
O00444,PLK4
O00459,PIK3R2
O00483,NDUFA4
O00487,PSMD14
O00519,FAAH
O00555,CACNA1A
O00591,GABRP
O09800,gN
O13428,GSC1
O14561,NDUFAB1
O14649,KCNK3
O14746,TERT
O14757,CHEK1
O14763,TNFRSF10B
O14764,GABRD
O14788,TNFSF11
O14793,MSTN
O14818,PSMA7
O14842,FFAR1
O14920,IKBKB
O14965,AURKA
O14980,XPO1
O15123,ANGPT2
O15197,EPHB6
O15230,LAMA5
O15239,NDUFA1
O15379,HDAC3
O15399,GRIN2D
O15455,TLR3
O15496,PLA2G10
O15530,PDPK1
O15554,KCNN4
O40239,env
O43174,CYP26A1
O43181,NDUFS4
O43193,MLNR
O43242,PSMD3
O43283,MAP3K13
O43451,MGAM
O43497,CACNA1G
O43525,KCNQ3
O43526,KCNQ2
O43557,TNFSF14
O43570,CA12
O43613,HCRTR1
O43614,HCRTR2
O43674,NDUFB5
O43676,NDUFB3
O43677,NDUFC1
O43678,NDUFA2
O43895,XPNPEP2
O43920,NDUFS5
O43924,PDE6D
O52759,rpsD
O52761,rplQ
